SchoolCode,SchoolName,SchoolType,Grade,TotalEnrollment,FirstLanguageNotEnglish,PctFirstLanguageNotEnglish,EnglishLanguageLearner,PctEnglishLanguageLearner,StudentsWithDisabilities,PctStudentsWithDisabilities,HighNeeds,PctHighNeeds,EconomicallyDisadvantaged,PctEconomicallyDisadvantaged,TotalNoOfClasses,AverageClassSize,NumberOfStudents,SalaryTotals,AverageSalary,FTECount,InDistrictExpenditures,TotalInDistrictFTEs,AverageInDistrictExpendituresPerPupil,TotalExpenditures,TotalPupilFTEs,AverageExpendituresPerPupil,AccountabilityAndAssistanceLevel,AccountabilityAndAssistanceDescription,SchoolAccountablityPercentile,ProgressAndPerformanceAll,ProgressAndPerformanceHighNeeds,DistrictAccountability,DistrictProgressAndPerformanceAll,DistrictProgressAndPerformanceHighNeeds
490090,Fletcher/Maynard Academy,Public School,"PK,K,01,02,03,04,05",260,61,23.5,29,11.2,71,27.3,167,64.2,113,43.5,230,10.9,262,50658612,78456,646,168307565.6,6428,26183.5,194321971.1,7048.6,27568.87,Level 1,2016 Level held harmless,33,78,72,Level 2,67,59
490305,Cambridge Street Upper School,Public School,"06,07,08",261,63,24.1,9,3.4,73,28,132,50.6,87,33.3,173,16.9,258,50658612,78456,646,168307565.6,6428,26183.5,194321971.1,7048.6,27568.87,Level 1,2016 Level held harmless,47,65,67,Level 2,67,59
490310,Putnam Avenue Upper School,Public School,"06,07,08",262,56,21.4,3,1.1,68,26,144,55,109,41.6,181,17.8,263,50658612,78456,646,168307565.6,6428,26183.5,194321971.1,7048.6,27568.87,Level 2,2016 Level held harmless,14,47,43,Level 2,67,59
490315,Rindge Avenue Upper School,Public School,"06,07,08",275,46,16.7,4,1.5,73,26.5,118,42.9,77,28,148,19,278,50658612,78456,646,168307565.6,6428,26183.5,194321971.1,7048.6,27568.87,Level 2,Not meeting gap narrowing goals,65,64,79,Level 2,67,59
490320,Vassal Lane Upper School,Public School,"06,07,08",268,98,36.6,24,9,64,23.9,140,52.2,82,30.6,180,17.9,287,50658612,78456,646,168307565.6,6428,26183.5,194321971.1,7048.6,27568.87,Level 2,Not meeting gap narrowing goals,61,81,67,Level 2,67,59
490506,Cambridge Rindge and Latin,Public School,"09,10,11,12",1956,504,25.8,105,5.4,325,16.6,792,40.5,535,27.4,1034,15.5,1928,50658612,78456,646,168307565.6,6428,26183.5,194321971.1,7048.6,27568.87,Level 2,Not meeting gap narrowing goals,48,80,65,Level 2,67,59
500012,Lt Peter M Hansen,Public School,"K,01,02,03,04,05",502,22,4.4,13,2.6,44,8.8,128,25.5,76,15.1,373,20.1,479,18615345,77664,240,44371614,3359.4,13208.2,48664018,3434.9,14167.52,Level 1,Meeting gap narrowing goals,87,88,100,Level 2,70,72
500017,John F Kennedy,Public School,"K,01,02,03,04,05",504,20,4,18,3.6,60,11.9,118,23.4,44,8.7,383,20.4,495,18615345,77664,240,44371614,3359.4,13208.2,48664018,3434.9,14167.52,Level 2,Not meeting gap narrowing goals,84,68,45,Level 2,70,72
500020,Dean S Luce,Public School,"K,01,02,03,04,05",492,34,6.9,24,4.9,42,8.5,125,25.4,79,16.1,439,18.2,514,18615345,77664,240,44371614,3359.4,13208.2,48664018,3434.9,14167.52,Level 2,Not meeting gap narrowing goals,62,56,68,Level 2,70,72
500305,Wm H Galvin Middle,Public School,"06,07,08",786,49,6.2,13,1.7,107,13.6,213,27.1,122,15.5,481,19.7,806,18615345,77664,240,44371614,3359.4,13208.2,48664018,3434.9,14167.52,Level 2,Not meeting gap narrowing goals,65,62,64,Level 2,70,72
500505,Canton High,Public School,"09,10,11,12",951,49,5.2,10,1.1,73,7.7,169,17.8,110,11.6,580,17.1,955,18615345,77664,240,44371614,3359.4,13208.2,48664018,3434.9,14167.52,Level 2,Not meeting gap narrowing goals,75,84,74,Level 2,70,72
510025,Carlisle School,Public School,"PK,K,01,02,03,04,05,06,07,08",590,39,6.6,19,3.2,76,12.9,107,18.1,15,2.5,222,18.1,613,5297703,91182,58,11116510.71,638.8,17402.18,11656795.18,645.8,18050.16,Level 1,Meeting gap narrowing goals,99,100,86,Level 1,100,86
520015,Carver Elementary School,Public School,"PK,K,01,02,03,04,05",790,6,0.8,6,0.8,139,17.6,286,36.2,177,22.4,466,17.8,812,8237964,66921,123,22082455.08,1625.1,13588.37,24028000.58,1684.7,14262.48,Level 2,Not meeting gap narrowing goals,42,71,71,Level 2,57,63
520405,Carver Middle/High School,Public School,"06,07,08,09,10,11,12",836,4,0.5,3,0.4,168,20.1,263,31.5,150,17.9,419,15.5,829,8237964,66921,123,22082455.08,1625.1,13588.37,24028000.58,1684.7,14262.48,Level 2,Not meeting gap narrowing goals,34,54,61,Level 2,57,63
560005,Center Elementary School,Public School,"K,01,02,03,04",434,54,12.4,28,6.5,65,15,126,29,51,11.8,152,22.2,443,26559688,73471,362,61371151.49,5028.4,12204.91,70390125.61,5296.9,13288.93,Level 2,Not meeting gap narrowing goals,82,69,55,Level 2,63,59
560015,South Row,Public School,"K,01,02,03,04",379,52,13.7,25,6.6,39,10.3,87,23,33,8.7,152,20.2,401,26559688,73471,362,61371151.49,5028.4,12204.91,70390125.61,5296.9,13288.93,Level 1,Meeting gap narrowing goals,78,77,83,Level 2,63,59
560025,Charles D Harrington,Public School,"K,01,02,03,04",471,73,15.5,27,5.7,63,13.4,164,34.8,90,19.1,168,22.1,489,26559688,73471,362,61371151.49,5028.4,12204.91,70390125.61,5296.9,13288.93,Level 2,Not meeting gap narrowing goals,83,74,50,Level 2,63,59
560030,Byam School,Public School,"K,01,02,03,04",495,44,8.9,24,4.8,72,14.5,133,26.9,70,14.1,164,23.3,490,26559688,73471,362,61371151.49,5028.4,12204.91,70390125.61,5296.9,13288.93,Level 2,Not meeting gap narrowing goals,66,70,59,Level 2,63,59
560305,Col Moses Parker School,Public School,"05,06,07,08",725,94,13,9,1.2,130,17.9,207,28.6,80,11,412,16.7,731,26559688,73471,362,61371151.49,5028.4,12204.91,70390125.61,5296.9,13288.93,Level 2,Not meeting gap narrowing goals,94,74,56,Level 2,63,59
560310,McCarthy Middle School,Public School,"05,06,07,08",850,98,11.5,23,2.7,143,16.8,241,28.4,92,10.8,489,16.6,881,26559688,73471,362,61371151.49,5028.4,12204.91,70390125.61,5296.9,13288.93,Level 2,Not meeting gap narrowing goals,90,79,68,Level 2,63,59
560505,Chelmsford High,Public School,"09,10,11,12",1484,124,8.4,10,0.7,187,12.6,303,20.4,128,8.6,769,16.8,1509,26559688,73471,362,61371151.49,5028.4,12204.91,70390125.61,5296.9,13288.93,Level 1,Meeting gap narrowing goals,84,93,85,Level 2,63,59
570025,William A Berkowitz Elementary,Public School,"01,02,03,04",541,394,72.8,126,23.3,76,14,406,75,337,62.3,30,19.9,595,27035942,64772,417,80232201.2,6300.4,12734.46,96592693.31,7014.6,13770.24,Level 3,Among lowest performing 20% of schools,11,73,71,Level 3,40,34
570030,Edgar A Hooks Elementary,Public School,"01,02,03,04",591,442,74.8,229,38.7,64,10.8,464,78.5,375,63.5,24,25.9,622,27035942,64772,417,80232201.2,6300.4,12734.46,96592693.31,7014.6,13770.24,Level 1,Meeting gap narrowing goals,58,100,100,Level 3,40,34
570035,George F. Kelly Elementary,Public School,"01,02,03,04",571,456,79.9,163,28.5,69,12.1,394,69,301,52.7,23,25.4,585,27035942,64772,417,80232201.2,6300.4,12734.46,96592693.31,7014.6,13770.24,Level 2,2016 Level held harmless,13,40,34,Level 3,40,34
570040,Frank M Sokolowski Elementary,Public School,"01,02,03,04",587,427,72.7,181,30.8,63,10.7,472,80.4,361,61.5,24,26.3,630,27035942,64772,417,80232201.2,6300.4,12734.46,96592693.31,7014.6,13770.24,Level 3,Among lowest performing 20% of schools and subgroups,19,77,77,Level 3,40,34
570045,Eugene Wright Science and Technology Academy,Public School,"05,06,07,08",519,414,79.8,28,5.4,98,18.9,373,71.9,319,61.5,177,24.2,510,27035942,64772,417,80232201.2,6300.4,12734.46,96592693.31,7014.6,13770.24,Level 3,Among lowest performing 20% of schools and subgroups,4,55,53,Level 3,40,34
570050,Clark Avenue School,Public School,"05,06,07,08",545,475,87.2,15,2.8,75,13.8,363,66.6,309,56.7,254,22.9,542,27035942,64772,417,80232201.2,6300.4,12734.46,96592693.31,7014.6,13770.24,Level 3,Among lowest performing 20% of schools and subgroups,6,31,30,Level 3,40,34
570055,Joseph A. Browne School,Public School,"05,06,07,08",576,516,89.6,299,51.9,49,8.5,477,82.8,306,53.1,218,25,618,27035942,64772,417,80232201.2,6300.4,12734.46,96592693.31,7014.6,13770.24,Level 3,Among lowest performing 20% of schools and subgroups,4,37,38,Level 3,40,34
570505,Chelsea High,Public School,"09,10,11,12",1545,1348,87.2,483,31.3,143,9.3,1111,71.9,721,46.7,621,23,1586,27035942,64772,417,80232201.2,6300.4,12734.46,96592693.31,7014.6,13770.24,Level 3,Among lowest performing 20% of schools and subgroups,4,49,48,Level 3,40,34
610003,Barry,Public School,"K,01,02,03,04,05",425,80,18.8,63,14.8,80,18.8,267,62.8,212,49.9,89,20.7,445,40973099,65358,627,104445939.5,7618.3,13709.87,108607100,7950.9,13659.72,Level 1,Meeting gap narrowing goals,73,100,100,Level 3,59,57
610015,Bowe,Public School,"PK,K,01,02,03,04,05",452,83,18.4,51,11.3,84,18.6,338,74.8,300,66.4,82,20.8,444,40973099,65358,627,104445939.5,7618.3,13709.87,108607100,7950.9,13659.72,Level 1,Meeting gap narrowing goals,36,96,100,Level 3,59,57
610020,Bowie,Public School,"K,01,02,03,04,05",366,4,1.1,0,0,39,10.7,156,42.6,137,37.4,94,19.2,349,40973099,65358,627,104445939.5,7618.3,13709.87,108607100,7950.9,13659.72,Level 2,Not meeting gap narrowing goals,33,76,73,Level 3,59,57
610021,Chicopee Academy,Public School,"06,07,08,09,10,11,12",106,21,19.8,2,1.9,42,39.6,95,89.6,82,77.4,122,5.7,108,40973099,65358,627,104445939.5,7618.3,13709.87,108607100,7950.9,13659.72,Level 3,Among lowest performing 20% of schools,2,46,,Level 3,59,57
610022,Litwin,Public School,"K,01,02,03,04,05",422,39,9.2,27,6.4,84,19.9,248,58.8,216,51.2,129,15.8,412,40973099,65358,627,104445939.5,7618.3,13709.87,108607100,7950.9,13659.72,Level 1,Meeting gap narrowing goals,34,93,95,Level 3,59,57
610040,Lambert-Lavoie,Public School,"K,01,02,03,04,05",305,4,1.3,1,0.3,28,9.2,158,51.8,144,47.2,70,18.1,316,40973099,65358,627,104445939.5,7618.3,13709.87,108607100,7950.9,13659.72,Level 1,Meeting gap narrowing goals,53,89,84,Level 3,59,57
610050,Fairview Elementary,Public School,"K,01,02,03,04,05",448,65,14.5,37,8.3,62,13.8,338,75.4,308,68.8,106,21,421,40973099,65358,627,104445939.5,7618.3,13709.87,108607100,7950.9,13659.72,Level 2,Not meeting gap narrowing goals,22,59,63,Level 3,59,57
610065,Streiber Memorial School,Public School,"K,01,02,03,04,05",284,4,1.4,0,0,54,19,131,46.1,106,37.3,97,18.1,283,40973099,65358,627,104445939.5,7618.3,13709.87,108607100,7950.9,13659.72,Level 2,Not meeting gap narrowing goals,40,83,71,Level 3,59,57
610090,Gen John J Stefanik,Public School,"K,01,02,03,04,05",391,95,24.3,40,10.2,66,16.9,304,77.7,278,71.1,93,19.8,382,40973099,65358,627,104445939.5,7618.3,13709.87,108607100,7950.9,13659.72,Level 1,Meeting gap narrowing goals,45,88,94,Level 3,59,57
610305,Bellamy Middle,Public School,"06,07,08",788,106,13.5,32,4.1,153,19.4,481,61,414,52.5,483,18.7,846,40973099,65358,627,104445939.5,7618.3,13709.87,108607100,7950.9,13659.72,Level 2,Not meeting gap narrowing goals,28,81,70,Level 3,59,57
610310,Dupont Middle,Public School,"06,07,08",769,91,11.8,45,5.9,158,20.5,478,62.2,398,51.8,285,19.8,726,40973099,65358,627,104445939.5,7618.3,13709.87,108607100,7950.9,13659.72,Level 2,Not meeting gap narrowing goals,22,54,45,Level 3,59,57
610505,Chicopee High,Public School,"09,10,11,12",947,159,16.8,37,3.9,190,20.1,534,56.4,449,47.4,663,13.7,963,40973099,65358,627,104445939.5,7618.3,13709.87,108607100,7950.9,13659.72,Level 3,Among lowest performing 20% of schools and subgroups,5,58,74,Level 3,59,57
610510,Chicopee Comprehensive High School,Public School,"09,10,11,12",1430,181,12.7,44,3.1,227,15.9,716,50.1,607,42.4,775,15.9,1487,40973099,65358,627,104445939.5,7618.3,13709.87,108607100,7950.9,13659.72,Level 3,Among lowest performing 20% of schools and subgroups,8,62,65,Level 3,59,57
630010,Clarksburg Elementary,Public School,"K,01,02,03,04,05,06,07,08",173,0,0,0,0,34,19.7,82,47.4,63,36.4,58,17.1,160,930689,61635,15,2570975,170.5,15079.03,3178055,213.1,14913.44,Level 1,Meeting gap narrowing goals,51,75,85,Level 1,75,85
640305,Clinton Middle School,Public School,"04,05,06,07,08",700,142,20.3,43,6.1,139,19.9,341,48.7,227,32.4,356,20.5,696,9314342,66247,141,21906696.7,1857.3,11794.92,28176189.96,2179.2,12929.6,Level 2,Not meeting gap narrowing goals,37,56,51,Level 2,58,63
640505,Clinton Senior High,Public School,"PK,09,10,11,12",466,127,27.3,19,4.1,91,19.5,213,45.7,155,33.3,246,12.6,430,9314342,66247,141,21906696.7,1857.3,11794.92,28176189.96,2179.2,12929.6,Level 2,Not meeting gap narrowing goals,39,63,64,Level 2,58,63
650005,Deer Hill,Public School,"03,04,05",382,1,0.3,0,0,47,12.3,57,14.9,17,4.5,215,21.7,393,9615360,82963,116,22547730.72,1593.5,14149.82,24144763.33,1616.4,14937.37,Level 2,Not meeting gap narrowing goals,86,71,74,Level 2,75,85
650505,Cohasset Middle/High School,Public School,"06,07,08,09,10,11,12",838,3,0.4,1,0.1,103,12.3,136,16.2,36,4.3,513,17.8,850,9615360,82963,116,22547730.72,1593.5,14149.82,24144763.33,1616.4,14937.37,Level 1,Meeting gap narrowing goals,92,84,90,Level 2,75,85
670005,Alcott,Public School,"PK,K,01,02,03,04,05",473,43,9.1,15,3.2,59,12.5,112,23.7,42,8.9,121,19.1,476,15226596,94282,162,35083262.38,2094.9,16746.99,37477871.53,2139.5,17517.12,Level 1,Meeting gap narrowing goals,98,100,95,Level 2,98,75
670020,Thoreau,Public School,"PK,K,01,02,03,04,05",467,32,6.9,11,2.4,93,19.9,122,26.1,19,4.1,122,19,484,15226596,94282,162,35083262.38,2094.9,16746.99,37477871.53,2139.5,17517.12,Level 1,Meeting gap narrowing goals,99,100,99,Level 2,98,75
670030,Willard,Public School,"PK,K,01,02,03,04,05",453,22,4.9,12,2.6,56,12.4,80,17.7,13,2.9,117,19.9,480,15226596,94282,162,35083262.38,2094.9,16746.99,37477871.53,2139.5,17517.12,Level 2,Not meeting gap narrowing goals,97,100,69,Level 2,98,75
670305,Concord Middle,Public School,"06,07,08",715,38,5.3,3,0.4,114,15.9,152,21.3,42,5.9,505,14.6,683,15226596,94282,162,35083262.38,2094.9,16746.99,37477871.53,2139.5,17517.12,Level 2,Not meeting gap narrowing goals,94,100,69,Level 2,98,75
680005,Conway Grammar,Public School,"PK,K,01,02,03,04,05,06",141,1,0.7,0,0,26,18.4,46,32.6,33,23.4,43,16.1,159,836903,57322,15,2668689,168,15885.05,2784212,179.1,15545.57,Level 1,Meeting gap narrowing goals,68,84,100,Level 1,83,100
710010,Highlands,Public School,"K,01,02,03,04,05",374,11,2.9,10,2.7,45,12,112,29.9,65,17.4,154,20.5,389,21023540,78183,269,48480811.39,3564.9,13599.49,53711945.95,3677.1,14607.15,Level 2,Not meeting gap narrowing goals,30,56,69,Level 2,58,52
710015,Great Oak,Public School,"K,01,02,03,04,05",302,4,1.3,3,1,19,6.3,60,19.9,45,14.9,146,20.2,360,21023540,78183,269,48480811.39,3564.9,13599.49,53711945.95,3677.1,14607.15,Level 2,Not meeting gap narrowing goals,51,65,61,Level 2,58,52
710030,Riverside,Public School,"PK,K,01,02,03,04,05",278,9,3.2,7,2.5,82,29.5,125,45,60,21.6,131,17.1,326,21023540,78183,269,48480811.39,3564.9,13599.49,53711945.95,3677.1,14607.15,Level 1,Meeting gap narrowing goals,35,77,76,Level 2,58,52
710032,Ivan G Smith,Public School,"K,01,02,03,04,05",286,3,1,1,0.3,30,10.5,67,23.4,49,17.1,106,22,281,21023540,78183,269,48480811.39,3564.9,13599.49,53711945.95,3677.1,14607.15,Level 2,Not meeting gap narrowing goals,51,71,68,Level 2,58,52
710045,Willis E Thorpe,Public School,"K,01,02,03,04,05",327,4,1.2,4,1.2,54,16.5,107,32.7,64,19.6,144,18.2,324,21023540,78183,269,48480811.39,3564.9,13599.49,53711945.95,3677.1,14607.15,Level 2,Not meeting gap narrowing goals,48,45,39,Level 2,58,52
710305,Holten Richmond Middle School,Public School,"06,07,08",838,20,2.4,2,0.2,136,16.2,238,28.4,126,15,582,17.9,847,21023540,78183,269,48480811.39,3564.9,13599.49,53711945.95,3677.1,14607.15,Level 2,Not meeting gap narrowing goals,33,65,61,Level 2,58,52
710505,Danvers High,Public School,"09,10,11,12",974,29,3,6,0.6,135,13.9,253,26,138,14.2,482,16.7,1003,21023540,78183,269,48480811.39,3564.9,13599.49,53711945.95,3677.1,14607.15,Level 2,Not meeting gap narrowing goals,58,64,52,Level 2,58,52
720015,Joseph Demello,Public School,"01,02,03,04,05",419,25,6,24,5.7,53,12.6,129,30.8,70,16.7,183,21,427,20097135,73412,274,43980803.53,3697.9,11893.45,46942013.71,3759.2,12487.23,Level 1,2016 Level held harmless,80,71,63,Level 2,64,58
720030,George H Potter,Public School,"K,01,02,03,04,05",429,30,7,18,4.2,47,11,166,38.7,129,30.1,170,22.5,432,20097135,73412,274,43980803.53,3697.9,11893.45,46942013.71,3759.2,12487.23,Level 2,Not meeting gap narrowing goals,46,54,61,Level 2,64,58
720040,James M. Quinn School,Public School,"K,01,02,03,04,05",617,34,5.5,17,2.8,99,16,219,35.5,138,22.4,277,21.8,682,20097135,73412,274,43980803.53,3697.9,11893.45,46942013.71,3759.2,12487.23,Level 1,2016 Level held harmless,53,56,55,Level 2,64,58
720050,Dartmouth Middle,Public School,"06,07,08",965,43,4.5,7,0.7,124,12.8,281,29.1,187,19.4,647,18.2,998,20097135,73412,274,43980803.53,3697.9,11893.45,46942013.71,3759.2,12487.23,Level 2,Not meeting gap narrowing goals,71,67,61,Level 2,64,58
720505,Dartmouth High,Public School,"09,10,11,12",1064,50,4.7,11,1,106,10,254,23.9,168,15.8,561,16.8,1081,20097135,73412,274,43980803.53,3697.9,11893.45,46942013.71,3759.2,12487.23,Level 2,Not meeting gap narrowing goals,45,72,84,Level 2,64,58
730010,Avery,Public School,"01,02,03,04,05",308,62,20.1,44,14.3,66,21.4,175,56.8,119,38.6,78,17.6,313,17787199,76417,233,45018771.29,2741.8,16419.42,50399817.52,2834.7,17779.59,Level 2,Not meeting gap narrowing goals,31,49,46,Level 2,52,48
730025,Greenlodge,Public School,"01,02,03,04,05",278,21,7.6,14,5,50,18,79,28.4,33,11.9,70,18.6,298,17787199,76417,233,45018771.29,2741.8,16419.42,50399817.52,2834.7,17779.59,Level 2,Not meeting gap narrowing goals,75,68,58,Level 2,52,48
730030,Oakdale,Public School,"01,02,03,04,05",272,32,11.8,15,5.5,45,16.5,83,30.5,39,14.3,70,17.5,279,17787199,76417,233,45018771.29,2741.8,16419.42,50399817.52,2834.7,17779.59,Level 2,Not meeting gap narrowing goals,89,75,61,Level 2,52,48
730045,Riverdale,Public School,"01,02,03,04,05",183,34,18.6,19,10.4,37,20.2,90,49.2,51,27.9,54,15,184,17787199,76417,233,45018771.29,2741.8,16419.42,50399817.52,2834.7,17779.59,Level 2,Not meeting gap narrowing goals,52,55,61,Level 2,52,48
730305,Dedham Middle School,Public School,"06,07,08",631,74,11.7,23,3.6,155,24.6,251,39.8,121,19.2,452,17,678,17787199,76417,233,45018771.29,2741.8,16419.42,50399817.52,2834.7,17779.59,Level 2,Not meeting gap narrowing goals,44,51,40,Level 2,52,48
730505,Dedham High,Public School,"09,10,11,12",739,96,13,28,3.8,113,15.2,238,32.1,133,18,347,15.8,714,17787199,76417,233,45018771.29,2741.8,16419.42,50399817.52,2834.7,17779.59,Level 2,Not meeting gap narrowing goals,70,83,74,Level 2,52,48
740015,Deerfield Elementary,Public School,"PK,K,01,02,03,04,05,06",401,12,3,6,1.5,75,18.7,131,32.7,79,19.7,150,15.2,420,2295663,66349,35,5851083,430.9,13578.75,6347824,460.4,13787.63,Level 2,Not meeting gap narrowing goals,48,47,55,Level 2,47,55
770015,Douglas Elementary School,Public School,"02,03,04,05",404,1,0.2,0,0,73,18.1,120,29.7,65,16.1,121,26.9,431,6718753,66853,101,16768779.07,1530.8,10954.26,18516872.47,1594.6,11612.24,Level 2,Not meeting gap narrowing goals,55,61,54,Level 2,63,61
770305,Douglas Middle School,Public School,"06,07,08",360,1,0.3,0,0,50,13.9,96,26.7,62,17.2,143,25.4,406,6718753,66853,101,16768779.07,1530.8,10954.26,18516872.47,1594.6,11612.24,Level 2,Not meeting gap narrowing goals,50,61,71,Level 2,63,61
770505,Douglas High School,Public School,"09,10,11,12",394,1,0.3,1,0.3,70,17.8,104,26.4,50,12.7,237,13.7,403,6718753,66853,101,16768779.07,1530.8,10954.26,18516872.47,1594.6,11612.24,Level 2,Not meeting gap narrowing goals,38,68,58,Level 2,63,61
780005,Chickering,Public School,"PK,K,01,02,03,04,05",483,29,6,12,2.5,72,14.9,102,21.1,13,2.7,178,20.4,483,3686786,95020,39,9028165,476.3,18954.79,12012522,495.1,24262.82,Level 1,Meeting gap narrowing goals,97,100,82,Level 1,100,82
790020,Joseph A Campbell Elementary,Public School,"PK,K,01,02,03,04,05",546,11,2,9,1.6,109,20,185,33.9,94,17.2,220,21.9,583,15116179,70080,216,39350547,3672.6,10714.63,44748069,3932,11380.49,Level 2,Not meeting gap narrowing goals,41,60,61,Level 3,56,51
790030,Greenmont Avenue,Public School,"K,01,02,03,04,05",280,11,3.9,5,1.8,44,15.7,113,40.4,78,27.9,108,24,289,15116179,70080,216,39350547,3672.6,10714.63,44748069,3932,11380.49,Level 2,Not meeting gap narrowing goals,58,61,,Level 3,56,51
790035,Brookside Elementary,Public School,"K,01,02,03,04,05",463,17,3.7,10,2.2,68,14.7,190,41,130,28.1,173,23.1,441,15116179,70080,216,39350547,3672.6,10714.63,44748069,3932,11380.49,Level 2,Not meeting gap narrowing goals,29,64,70,Level 3,56,51
790045,George H. Englesby Elementary School,Public School,"K,01,02,03,04,05",508,12,2.4,9,1.8,86,16.9,199,39.2,141,27.8,212,21.1,513,15116179,70080,216,39350547,3672.6,10714.63,44748069,3932,11380.49,Level 2,Not meeting gap narrowing goals,36,58,56,Level 3,56,51
790410,Justus C. Richardson Middle School,Public School,"06,07,08",901,34,3.8,7,0.8,129,14.3,284,31.5,182,20.2,449,23,985,15116179,70080,216,39350547,3672.6,10714.63,44748069,3932,11380.49,Level 3,Among lowest performing 20% of subgroups,23,68,66,Level 3,56,51
790505,Dracut Senior High,Public School,"09,10,11,12",801,45,5.6,7,0.9,80,10,179,22.3,111,13.9,387,18.5,846,15116179,70080,216,39350547,3672.6,10714.63,44748069,3932,11380.49,Level 2,Not meeting gap narrowing goals,60,80,63,Level 3,56,51
820004,Alden School,Public School,"03,04,05",706,8,1.1,3,0.4,111,15.7,142,20.1,40,5.7,330,21.6,713,17404817,74411,234,40979317.26,3204.4,12788.45,42698532.5,3245.5,13156.23,Level 2,Not meeting gap narrowing goals,85,77,64,Level 2,89,68
820305,Duxbury Middle,Public School,"06,07,08",751,11,1.5,5,0.7,96,12.8,134,17.8,41,5.5,335,21.8,785,17404817,74411,234,40979317.26,3204.4,12788.45,42698532.5,3245.5,13156.23,Level 2,Not meeting gap narrowing goals,80,76,67,Level 2,89,68
820505,Duxbury High,Public School,"09,10,11,12",1057,8,0.8,2,0.2,124,11.7,169,16,58,5.5,466,19.8,1097,17404817,74411,234,40979317.26,3204.4,12788.45,42698532.5,3245.5,13156.23,Level 1,Meeting gap narrowing goals,95,100,87,Level 2,89,68
830010,Gordon W Mitchell,Public School,"03,04,05,06",690,2,0.3,2,0.3,161,23.3,240,34.8,124,18,273,25.4,712,9839185,72188,136,21557014.67,2280.8,9451.51,24527294.58,2358.4,10399.97,Level 2,Not meeting gap narrowing goals,81,81,67,Level 2,58,51
830505,East Bridgewater JR./SR. High School,Public School,"07,08,09,10,11,12",1051,7,0.7,5,0.5,155,14.7,270,25.7,148,14.1,390,19.9,1033,9839185,72188,136,21557014.67,2280.8,9451.51,24527294.58,2358.4,10399.97,Level 2,Not meeting gap narrowing goals,56,62,55,Level 2,58,51
850005,Eastham Elementary,Public School,"PK,K,01,02,03,04,05",182,8,4.4,4,2.2,31,17,73,40.1,53,29.1,143,12.8,176,1931963,84365,23,4850559,174.8,27749.19,5111078,189.4,26985.63,Level 1,Meeting gap narrowing goals,70,100,99,Level 1,100,99
860005,Center School,Public School,"K,01,02,03,04",194,12,6.2,11,5.7,36,18.6,82,42.3,59,30.4,33,21.6,177,7782569,70494,110,18612256.04,1529.1,12172.03,24120880.63,1867.5,12916.13,Level 1,2016 Level held harmless,30,53,32,Level 3,60,58
860010,Maple,Public School,"PK,K,01,02,03,04",256,13,5.1,5,2,64,25,135,52.7,99,38.7,45,20.5,261,7782569,70494,110,18612256.04,1529.1,12172.03,24120880.63,1867.5,12916.13,Level 1,Meeting gap narrowing goals,59,76,80,Level 3,60,58
860020,Neil A Pepin,Public School,"K,01,02,03,04",192,11,5.7,7,3.6,29,15.1,75,39.1,54,28.1,36,21.2,191,7782569,70494,110,18612256.04,1529.1,12172.03,24120880.63,1867.5,12916.13,Level 1,2016 Level held harmless,59,66,,Level 3,60,58
860305,White Brook Middle School,Public School,"05,06,07,08",449,29,6.5,4,0.9,90,20,180,40.1,134,29.8,211,20.3,477,7782569,70494,110,18612256.04,1529.1,12172.03,24120880.63,1867.5,12916.13,Level 3,Among lowest performing 20% of schools,16,59,50,Level 3,60,58
860505,Easthampton High,Public School,"09,10,11,12",471,34,7.2,8,1.7,73,15.5,177,37.6,130,27.6,189,17.9,456,7782569,70494,110,18612256.04,1529.1,12172.03,24120880.63,1867.5,12916.13,Level 1,Meeting gap narrowing goals,32,76,92,Level 3,60,58
870010,Mapleshade,Public School,"03,04,05",269,30,11.2,8,3,43,16,108,40.1,66,24.5,135,15.6,279,14616105,73819,198,34043331.94,2670.7,12746.97,37248544.41,2748,13554.78,Level 2,Not meeting gap narrowing goals,56,63,67,Level 2,74,68
870015,Mountain View,Public School,"03,04,05",300,12,4,1,0.3,48,16,84,28,41,13.7,126,17.6,307,14616105,73819,198,34043331.94,2670.7,12746.97,37248544.41,2748,13554.78,Level 2,Not meeting gap narrowing goals,76,69,64,Level 2,74,68
870305,Birchland Park,Public School,"06,07,08",628,40,6.4,6,1,107,17,193,30.7,108,17.2,345,18.6,646,14616105,73819,198,34043331.94,2670.7,12746.97,37248544.41,2748,13554.78,Level 1,Meeting gap narrowing goals,79,85,84,Level 2,74,68
870505,East Longmeadow High,Public School,"09,10,11,12",870,46,5.3,10,1.1,130,14.9,233,26.8,119,13.7,396,17,865,14616105,73819,198,34043331.94,2670.7,12746.97,37248544.41,2748,13554.78,Level 2,Not meeting gap narrowing goals,66,75,72,Level 2,74,68
880025,Richardson Olmsted School,Public School,"03,04,05",835,34,4.1,7,0.8,143,17.1,221,26.5,93,11.1,360,24,865,19580625,73226,267,44843575.57,3760.7,11924.26,48800124.06,3833.3,12730.58,Level 2,Not meeting gap narrowing goals,63,58,58,Level 2,70,60
